product.__typename,product.productCode,product.name,product.slug,product.primaryImage,product.baseImgUrl,product.overrideUrl,product.variant.id,product.variant.sku,product.variant.salePercentage,product.variant.attributes.rating,product.variant.attributes.maxOrderQuantity,product.variant.attributes.availabilityStatus,product.variant.attributes.availabilityText,product.variant.attributes.vipAvailabilityStatus,product.variant.attributes.vipAvailabilityText,product.variant.attributes.canAddToBag,product.variant.attributes.canAddToWishlist,product.variant.attributes.vipCanAddToBag,product.variant.attributes.onSale,product.variant.attributes.isNew,product.variant.attributes.featuredFlags,product.variant.attributes.__typename,product.variant.price.formattedAmount,product.variant.price.centAmount,product.variant.price.currencyCode,product.variant.price.formattedValue,product.variant.price.__typename,product.variant.listPrice.formattedAmount,product.variant.listPrice.centAmount,product.variant.listPrice.__typename,product.variant.__typename
SingleVariantProduct,60274,Police Lighthouse Capture,elite-police-lighthouse-capture-60274,https://www.lego.com/cdn/cs/set/assets/blt59750311b6e356c0/60274.jpg?fit=bounds&format=jpg&quality=80&width=640&height=640&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt59750311b6e356c0/60274.jpg,null,6297093,6297093,0,5,3,E_AVAILABLE,Available now,null,null,true,true,null,false,null,[],ProductAttributes,$29.99,2999,USD,29.99,Price,$29.99,2999,Price,ProductVariant
SingleVariantProduct,60274,Police Lighthouse Capture,elite-police-lighthouse-capture-60274,https://www.lego.com/cdn/cs/set/assets/blt59750311b6e356c0/60274.jpg?fit=bounds&format=jpg&quality=80&width=640&height=640&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt59750311b6e356c0/60274.jpg,null,6297093,6297093,0,5,3,E_AVAILABLE,Available now,null,null,true,true,null,false,null,[],ProductAttributes,$29.99,2999,USD,29.99,Price,$29.99,2999,Price,ProductVariant
